Episode,Start_X,Start_Y,Start_Z,Target_X,Target_Y,Target_Z,Total_Reward,Collisions,Steps,Navigation_Time,Path_Length,Obstacle_Avoidance_Count,Final_Distance,Success
1,-20.899808883666992,8.471473693847656,-5.284486770629883,15.255373001098633,-42.78022003173828,-7.64059591293335,-287.8469377610087,1,31,36.434951305389404,46.05564320087433,1,60.740318298339844,0
2,-56.47187805175781,-47.52505111694336,-6.8243408203125,-31.666120529174805,-35.73868942260742,-8.617572784423828,-291.63188960313795,1,12,14.198033809661865,17.655396699905396,1,38.474369049072266,0
3,-58.95686340332031,-25.9027156829834,-3.125894784927368,37.25747299194336,42.538414001464844,-2.6517226696014404,-218.74485141873362,1,4,6.969264030456543,5.676738142967224,1,117.5245590209961,0
4,8.88796615600586,-38.71400451660156,-5.872968673706055,67.9393539428711,-39.176761627197266,-8.997414588928223,-273.2685975778103,1,7,8.292529821395874,10.40511566400528,1,65.58626556396484,0
5,13.505696296691895,44.06302261352539,-2.8003323078155518,-23.3144588470459,6.509597301483154,-7.581543445587158,-245.7678180329129,1,8,9.55912971496582,12.015512347221375,1,53.756080627441406,0
6,-38.55750274658203,4.829627990722656,-2.2700178623199463,11.639396667480469,-20.826778411865234,-7.713271141052246,-286.58764664188027,1,12,14.331536531448364,16.346800565719604,1,55.90745162963867,0
7,-54.70033645629883,0.827649712562561,-3.0467681884765625,41.962730407714844,-2.9727742671966553,-3.89656662940979,-291.39644417643547,1,7,8.490251779556274,8.446199268102646,2,98.3108139038086,0
8,-25.3663330078125,25.593591690063477,-3.4493353366851807,47.34888458251953,-41.980224609375,-7.798788070678711,-125.0056831407547,1,1,1.2072985172271729,0.01152348518371582,0,99.3616714477539,0
9,31.244583129882812,-25.526123046875,-5.203457355499268,37.291107177734375,-2.371469020843506,-9.968504905700684,-261.0950164219737,1,6,7.039134979248047,9.692509174346924,1,32.378883361816406,0
10,-33.05386734008789,-41.8968620300293,-6.377578258514404,47.660789489746094,-20.594013214111328,-4.910415172576904,-349.7632752639055,1,10,11.853718280792236,14.260921716690063,1,94.0260238647461,0
11,9.869962692260742,-48.947593688964844,-2.0226480960845947,-6.753006458282471,-33.50600814819336,-6.338367462158203,-211.46625016868114,1,3,3.483037233352661,3.6898505687713623,1,25.515506744384766,0
12,8.979974746704102,-35.92988204956055,-9.629584312438965,42.42699432373047,-47.14482116699219,-3.180752754211426,-363.0133284974098,1,15,17.639325618743896,25.16307759284973,2,48.18034744262695,0
13,63.395198822021484,-16.983726501464844,-4.920051574707031,-34.614463806152344,20.778135299682617,-5.605903148651123,-134.96063382148742,1,1,1.1443116664886475,0.22700843214988708,0,105.2435073852539,0
14,-37.50446701049805,20.815101623535156,-6.26159143447876,48.04881286621094,48.0399284362793,-6.376734733581543,-164.82223589658736,1,1,1.1764235496520996,0.6363961100578308,1,89.69354248046875,0
