Episode,Start_X,Start_Y,Target_X,Target_Y,Success,Final_Distance,Collisions,Steps,Navigation_Time,Path_Length
1,57.76837921142578,9.863085746765137,26.09305763244629,22.438932418823242,0,34.70771026611328,1,1,1.0923898220062256,1.807826280593872
2,-38.04557800292969,6.718932628631592,71.20436096191406,-18.11305046081543,0,61.589927673339844,0,400,446.1146237850189,185.12406150437891
3,61.76702117919922,-7.8039093017578125,-2.3108928203582764,17.027408599853516,0,70.3287353515625,1,1,1.0946247577667236,1.7621439695358276
4,-32.93272399902344,3.335662364959717,-34.746517181396484,-46.316463470458984,0,4.508352279663086,1,70,78.41637372970581,62.13338981568813
5,-44.996070861816406,20.587120056152344,47.61362838745117,-9.348267555236816,0,35.648250579833984,0,400,446.1058690547943,217.38281515985727
6,-30.482234954833984,18.184293746948242,30.432266235351562,5.271352767944336,0,61.8653678894043,1,1,1.127474069595337,0.47839727997779846
7,74.32098388671875,-34.009849548339844,-36.868247985839844,-40.11945343017578,0,19.63044548034668,1,108,118.80071067810059,126.92369385063648
8,-45.617774963378906,-15.963309288024902,0.5962272882461548,-14.268834114074707,1,1.3301926851272583,0,89,98.91150212287903,67.77683135122061
9,18.618423461914062,18.608488082885742,70.0123291015625,29.01527976989746,0,47.156044006347656,0,400,445.0685875415802,138.9947051743511
10,30.87590217590332,23.108354568481445,21.98098373413086,-42.14572525024414,0,61.26448059082031,1,7,7.68380069732666,6.594129979610443
11,-52.11268615722656,28.24765396118164,-55.61699295043945,-26.7412052154541,0,6.268662452697754,0,400,442.34527945518494,171.68324404908344
12,-2.7509925365448,38.02050018310547,53.497581481933594,30.61908531188965,0,10.436468124389648,0,400,439.08892703056335,195.26422983780503
13,27.540119171142578,26.813199996948242,0.6860666275024414,-42.29910659790039,0,6.285491943359375,0,400,442.7779972553253,198.10782970115542
14,25.70108413696289,32.99237823486328,-18.376188278198242,-6.400035858154297,1,1.3863917589187622,0,46,54.284634828567505,58.598798513412476
15,60.20115661621094,15.139863014221191,18.148061752319336,-23.34613800048828,0,56.80188751220703,1,1,2.3174004554748535,0.20464278757572174
16,-5.464227199554443,27.08555793762207,-19.291397094726562,45.17190170288086,0,14.681975364685059,0,400,490.8671329021454,161.50663391686976
17,76.67950439453125,5.617110729217529,42.255165100097656,-25.78921127319336,0,33.050559997558594,1,16,18.66626238822937,14.63410216383636
18,2.6791460514068604,39.032875061035156,-59.99313735961914,-11.354397773742676,0,53.21908950805664,1,20,37.05680847167969,27.471463918685913
19,-18.66585922241211,-23.167278289794922,-32.983680725097656,37.52326965332031,0,21.94198989868164,1,44,52.544737815856934,45.16734981536865
20,-42.58856201171875,27.130136489868164,-56.24559783935547,1.4262455701828003,1,1.4632506370544434,0,27,29.467763900756836,32.08094674348831
