Episode,Start_X,Start_Y,Start_Z,Target_X,Target_Y,Target_Z,Total_Reward,Collisions,Steps,Navigation_Time,Path_Length,Obstacle_Avoidance_Count,Final_Distance,Success
1,-18.568910598754883,38.15732192993164,-2.0,-7.218527317047119,-38.50200653076172,-2.0,-163.0603283071518,1,1,1.1896820068359375,0.7852834463119507,1,78.25833129882812,0
2,-30.096614837646484,41.49617385864258,-2.0,3.6572976112365723,28.09269905090332,-2.0,-137.53071303606032,1,5,5.9689295291900635,3.603621780872345,1,33.04987335205078,0
3,-32.65109634399414,42.841365814208984,-2.0,-30.595199584960938,-23.742483139038086,-2.0,-139.42419432163237,1,5,5.8084328174591064,4.599062919616699,1,62.660614013671875,0
4,31.295955657958984,-16.6722469329834,-2.0,51.9580078125,-14.111919403076172,-2.0,-102.82784616231919,1,1,1.1921789646148682,2.2981536388397217,0,18.534631729125977,0
5,55.60017013549805,44.0126838684082,-2.0,-27.5205020904541,29.0489559173584,-2.0,-54.73871470689774,1,23,28.79715871810913,25.63419035077095,0,64.1234130859375,0
6,3.5307111740112305,-6.188249588012695,-2.0,-11.411109924316406,32.9942741394043,-2.0,-1002.3986202970148,0,400,515.3409101963043,114.38572264276445,6,11.874138832092285,0
7,-11.692073822021484,-20.63673973083496,-2.0,12.966008186340332,24.020959854125977,-2.0,-938.0746528750658,0,400,477.9514400959015,109.18840611260384,0,14.23508358001709,0
8,54.574462890625,49.41270446777344,-2.0,71.0167236328125,21.767229080200195,-2.0,-957.2383293331416,0,400,479.54683089256287,136.15801532100886,0,7.301806449890137,0
9,-55.226173400878906,-16.97212791442871,-2.0,-36.017486572265625,-2.896395444869995,-2.0,254.4824285105616,0,65,79.35218358039856,39.75105485320091,0,1.3933717012405396,1
10,-11.648517608642578,-8.295984268188477,-2.0,-52.78533172607422,45.16326141357422,-2.0,-1.0612760233879612,1,33,40.93194317817688,34.843578949570656,6,32.879852294921875,0
11,25.033893585205078,-47.38874816894531,-2.0,67.93962860107422,25.499521255493164,-2.0,-98.6575518077612,1,28,34.25887656211853,28.458342656493187,17,56.95668029785156,0
12,76.22058868408203,9.958534240722656,-2.0,70.26091766357422,41.387447357177734,-2.0,-1613.3271889280522,0,400,466.40564370155334,177.69809615053236,0,22.0368709564209,0
13,-51.23251724243164,16.795351028442383,-2.0,-54.622802734375,-35.00385284423828,-2.0,-1830.2789770706736,0,400,476.568133354187,206.00635743141174,0,5.019223213195801,0
14,2.280376672744751,38.58844757080078,-2.0,-33.78709030151367,32.48857498168945,-2.0,-18.732142079919583,1,20,24.267996072769165,23.362164676189423,0,19.008359909057617,0
15,54.12590789794922,36.766170501708984,-2.0,36.9094123840332,-38.549957275390625,-2.0,-80.66278620958327,1,18,21.541648864746094,21.230757862329483,2,57.62783432006836,0
16,-49.45988845825195,-2.44590163230896,-2.0,28.827924728393555,29.083715438842773,-2.0,-1021.7301956375316,0,400,480.17448234558105,168.3678371347487,0,14.412962913513184,0
17,14.763578414916992,-34.3072624206543,-2.0,-37.63700485229492,-34.47959518432617,-2.0,47.90434229493138,1,32,38.32283091545105,34.72271031141281,0,22.196395874023438,0
18,42.565975189208984,2.654717206954956,-2.0,-42.87382888793945,8.665331840515137,-2.0,-159.7616151213646,1,8,10.074267864227295,8.568281278014183,5,78.817138671875,0
19,-25.225757598876953,-7.338150501251221,-2.0,-48.5416145324707,32.30831527709961,-2.0,-990.3423370169097,0,400,473.3791422843933,172.57586394436657,0,14.999896049499512,0
20,72.99872589111328,10.63413143157959,-2.0,26.549169540405273,24.932950973510742,-2.0,-70.38230741977694,1,11,13.017555713653564,10.400634378194809,0,38.231658935546875,0
21,-51.01364517211914,-5.649667739868164,-2.0,-39.16044998168945,42.93659210205078,-2.0,-1705.8222752223905,1,170,225.27403092384338,78.27712722728029,94,48.168060302734375,0
22,-5.785486221313477,20.05765151977539,-2.0,26.199399948120117,17.1700382232666,-2.0,-1150.8838137973844,1,70,95.30643773078918,35.77808556705713,63,14.058563232421875,0
23,14.465620994567871,3.9442837238311768,-2.0,-12.166097640991211,18.344213485717773,-2.0,-170.38606770753861,1,36,50.44476079940796,38.14086186885834,27,6.859673500061035,0
24,-1.5954986810684204,-33.405635833740234,-2.0,-13.907639503479004,46.90643310546875,-2.0,-821.7039893195034,1,56,76.50457406044006,64.33722719550133,49,33.384483337402344,0
25,31.722597122192383,-18.245866775512695,-2.0,-45.92842483520508,33.6001091003418,-2.0,-136.3473838877678,1,1,1.3601906299591064,1.8060293197631836,0,94.81306457519531,0
26,74.59415435791016,11.904966354370117,-2.0,23.201595306396484,19.957923889160156,-2.0,-321.99636563509705,1,47,63.80926871299744,52.85286074876785,38,4.80645227432251,0
27,5.824281215667725,-32.03427505493164,-2.0,41.299991607666016,40.58842086791992,-2.0,-1005.2776226700842,1,67,94.91360855102539,56.0718534886837,58,41.16040802001953,0
28,27.643808364868164,19.778959274291992,-2.0,69.32196807861328,-15.367561340332031,-2.0,-157.80424928188322,1,2,3.0586085319519043,0.8539918065071106,1,54.30531692504883,0
