Episode,Start_X,Start_Y,Target_X,Target_Y,Total_Reward,Collisions,Steps,Navigation_Time,Path_Length,Obstacle_Avoidance_Count,Final_Distance,Success
1,32.521671295166016,29.032072067260742,11.83347225189209,-13.683388710021973,-150.3102383995056,1,1,1.0924715995788574,0.638496458530426,1,46.82927322387695,0
2,3.065030574798584,-31.092445373535156,45.573768615722656,-45.84211349487305,-414.0788985776901,1,40,45.00510358810425,48.21484813094139,3,59.80762481689453,0
3,38.391990661621094,13.963887214660645,-11.49622917175293,41.73494338989258,-122.88313304185867,1,1,1.1193969249725342,9.5367431640625e-07,0,57.09699249267578,0
4,46.96092987060547,8.977416038513184,-33.9092903137207,-37.95680236816406,-154.58216512203217,1,1,1.1651978492736816,0.9614377021789551,1,93.11629486083984,0
5,-31.197345733642578,9.168967247009277,46.34762954711914,-5.587185382843018,-194.5701814365387,1,10,11.21223759651184,9.94538813829422,1,79.23570251464844,0
6,13.670148849487305,-35.20305633544922,62.150787353515625,17.914052963256836,-52.61109207868576,1,15,16.695327281951904,18.921726241707802,1,53.04802703857422,0
7,21.294239044189453,37.88956069946289,47.653621673583984,0.4588795304298401,-242.12521530151372,1,17,18.910109519958496,16.343914538621902,1,51.87002182006836,0
8,-15.898539543151855,31.1134090423584,9.496726989746094,18.885547637939453,-4520.786745213272,0,400,422.71059370040894,391.01929296180606,0,287.3573913574219,0
9,36.75792694091797,35.18814468383789,-49.82096481323242,48.82370376586914,-180.59544852495193,1,4,4.3852317333221436,2.1027634874917567,1,88.8867416381836,0
10,-7.982159614562988,-47.57756423950195,29.975032806396484,-28.654090881347656,-660.2223845529555,1,94,105.0741913318634,112.07801881432533,1,77.89063262939453,0
11,-0.5775749683380127,36.154632568359375,0.8510902523994446,-11.767088890075684,-7714.124986752279,0,400,424.6222722530365,480.058061347343,0,458.6424865722656,0
12,-8.247936248779297,44.60227966308594,-39.04689025878906,49.48443603515625,-271.82490354359146,1,139,154.61741852760315,117.30947468429804,2,14.098814964294434,0
13,-54.82028579711914,25.759235382080078,58.74421310424805,26.283939361572266,-3709.1509167634313,0,400,453.7456216812134,304.68801894783974,0,210.52084350585938,0
14,-25.863813400268555,-31.58652114868164,47.40030288696289,14.862774848937988,-121.6714548277855,1,1,1.1461992263793945,0.5126019716262817,0,86.41370391845703,0
15,51.22003936767578,2.81040620803833,6.035960674285889,23.195127487182617,-233.9255992388725,1,4,4.581554174423218,3.616346061229706,4,52.38740158081055,0
16,-41.47856521606445,-4.985994338989258,-22.551156997680664,18.422504425048828,-427.3628641609102,1,85,97.86098194122314,49.87439577281475,2,42.521461486816406,0
17,-21.215917587280273,-9.846508026123047,32.70690155029297,-6.434848785400391,-270.16172914594415,1,87,99.57833933830261,73.58115808665752,1,44.88359832763672,0
18,-12.463269233703613,22.5291690826416,32.485450744628906,24.017776489257812,-442.3629872047901,1,93,105.47912812232971,69.66747383773327,10,45.15682601928711,0
19,-53.044166564941406,48.194210052490234,29.96312141418457,-9.073123931884766,-2180.377527883799,0,400,445.9311966896057,337.90781734883785,1,147.4661102294922,0
20,-42.31370544433594,36.99720764160156,-20.9293212890625,-40.557918548583984,-166.84634978652002,1,10,11.555457353591919,9.26440754532814,4,71.82290649414062,0
21,27.60518455505371,-24.70562171936035,-18.24418830871582,-3.218980073928833,-178.56493438631318,0,400,447.1966588497162,227.6097749620676,0,20.364093780517578,0
22,-53.797996520996094,-3.4593472480773926,35.08158493041992,28.710575103759766,-361.70030370600523,0,400,451.4990496635437,215.6068563722074,0,33.663856506347656,0
23,0.2567307651042938,44.339202880859375,33.79931640625,31.604122161865234,-354.2360887371005,0,400,456.6263883113861,218.09437499195337,0,15.928731918334961,0
24,18.975099563598633,-36.13663101196289,54.46492385864258,-26.271907806396484,-146.7143237656355,1,23,25.853376865386963,16.1213611215353,1,31.002384185791016,0
25,-2.502866268157959,44.0473518371582,-37.50185012817383,-24.19697380065918,-28.500994732379908,1,15,16.873459339141846,19.73921200633049,0,58.22146224975586,0
26,32.084716796875,-46.3857307434082,-33.892494201660156,48.24515151977539,276.38424830198306,1,63,71.05680513381958,90.54050916433334,1,30.140085220336914,0
27,56.86712646484375,-0.8083720207214355,-17.206451416015625,45.41183090209961,-128.76063044786454,1,1,1.118621826171875,1.1429336071014404,0,87.85343170166016,0
28,-29.61275863647461,9.118497848510742,49.15114974975586,20.09850311279297,-142.61676485180865,1,249,279.58272647857666,153.93406104668975,1,24.269765853881836,0
29,3.147885799407959,33.10343551635742,48.01597213745117,-5.0006842613220215,-435.6227756755056,0,400,461.7991089820862,229.00798021443188,21,29.00029754638672,0
30,-2.8176629543304443,2.6458964347839355,29.744972229003906,16.871578216552734,-5.150391667783268,1,149,169.90782713890076,83.17403508722782,2,6.894275665283203,0
