Episode,Total_Reward,Collisions,Steps,Navigation_Time,Path_Length,Obstacle_Avoidance_Count,Success
1,-29173.53778591612,0,457,567.3881351947784,228.30121349992658,0,1
2,-38965.546973697856,0,500,554.2129092216492,194.26390444609083,0,0
3,-39624.61535943893,0,500,570.8371293544769,76.09169877424995,0,0
4,-39393.416633515786,0,500,567.3657734394073,66.8911366936166,0,0
5,-82716.30499337256,0,500,566.0119309425354,347.5017297442108,0,0
6,-92768.12499582795,0,500,562.6520137786865,351.16972385574496,0,0
7,-99647.14801045349,0,500,573.1514444351196,379.01319192998983,0,0
